bin_timestamp,num_tr,target_ix,target_no_ix,no_target_ix,no_target_no_ix,target_ix_rtt_count,target_ix_rtt_avg,target_no_ix_rtt_count,target_no_ix_rtt_avg
1700655300,44000,43682,177,12,129,43679,77.83962049090047,177,121.19434934086635
1700656200,43978,43671,175,10,122,43660,78.27794026079597,175,129.24976000000004
1700657100,44020,43731,152,10,127,43728,78.14478566122055,152,137.8986655701754
1700658000,44017,43758,118,11,130,43747,79.30869338136687,118,153.06225282485875
1700658900,44000,43750,113,9,128,43748,77.57618670037408,112,136.08064434523803
1700659800,44012,43766,115,10,121,43754,78.77879573927508,115,141.67277246376807
1700660700,47024,46665,229,9,121,46663,75.65655706346783,229,92.30608078602626
1700661600,43979,43670,170,9,130,43658,78.60762793759368,170,125.73394705882349
1700662500,43956,43693,132,11,120,43690,77.85853157743591,132,138.04063131313123
1700663400,43994,43719,137,16,122,43708,78.46254762941703,137,146.64104379562045
1700664300,44099,43827,137,9,126,43824,78.95118825687958,137,144.64745133819952
1700665200,44008,43732,137,10,129,43720,82.99734082600048,137,161.16152919708017
1700666100,44007,43738,130,11,128,43735,77.58451609411173,130,133.15515641025644
1700667000,44012,43726,152,9,125,43715,78.23080763658842,152,140.1362960526316
1700667900,47037,46661,234,10,132,46658,75.39404375163011,234,115.84831410256413
1700668800,44023,43599,131,157,136,43588,78.99847180096516,131,135.0237862595421
1700669700,44079,43742,189,12,136,43721,80.73094278830693,189,188.39104320987667
1700670600,44006,43678,186,14,128,43667,78.21679155082172,186,158.48293458781353
1700671500,44021,43703,175,14,129,43700,78.50166263056462,174,159.7268084291188
1700672400,44090,43778,176,12,124,43767,77.86327382139379,176,168.09833522727263
1700673300,43953,43644,174,13,122,43641,77.59788866360098,174,159.4354386973181
1700674200,44019,43722,154,12,131,43711,78.8186499704959,154,151.615262987013
1700675100,47034,46701,201,12,120,46698,75.18732002005245,201,103.7946807628524
1700676000,43917,34131,8858,162,766,34121,77.22288054478173,8857,99.6609869890371
1700676900,43848,25628,17253,54,913,25626,72.2189121018569,17251,98.44101188626695
1700677800,43863,26180,17207,33,443,26169,70.64942009277372,17207,97.07372889909124
1700678700,43928,25667,17757,42,462,25665,73.7638952370446,17756,95.03085799166504
1700679600,43949,24219,19245,59,426,24208,69.77358118215358,19245,94.0775821074937
1700680500,43877,23526,19958,25,368,23524,70.74586766978636,19958,90.7474450659762
1700681400,43951,23408,20282,21,240,23391,74.3043784240377,20274,93.67965780414396
1700682300,46889,25610,20744,131,404,25607,66.73476196609472,20744,88.04012712105792
1700683200,43847,28030,15265,130,422,28019,80.42468467439403,15265,88.46365761837164
1700684100,43927,31371,12154,118,284,31369,79.1242616629346,12154,77.39552810852
