p,dependencies,identifier
0.028985507246376812,1,393713
0.02912899985650739,1,264359
0.02927249246663797,1,201236
0.029415985076768545,1,47236
0.029559477686899125,1,203424
0.0297029702970297,1,27866
0.02984646290716028,1,61275
0.029989955517290858,1,393442
0.030133448127421438,1,26134
0.030276940737552015,1,62754
0.030420433347682595,1,51164
0.03056392595781317,1,31275
0.03070741856794375,1,395368
0.030850911178074328,1,270512
0.030994403788204908,1,139281
0.031137896398335484,1,265434
0.03128138900846606,1,22702
0.03142488161859664,1,33582
0.03156837422872722,1,7752
0.0317118668388578,1,36305
0.031855359448988374,1,263535
0.031998852059118954,1,14333
0.032142344669249534,1,10587
0.032285837279380114,1,52683
0.03242932988951069,1,134141
0.03257282249964127,1,267044
0.03271631510977185,1,197400
0.03285980771990243,1,39823
0.033003300330033,1,207668
0.03314679294016358,1,5398
0.03329028555029416,1,198605
0.03343377816042474,1,210879
0.03357727077055531,1,270340
0.03372076338068589,1,50156
0.03386425599081647,1,52182
0.03400774860094705,1,55690
0.034151241211077626,1,47253
0.034294733821208206,1,37329
0.034438226431338786,1,20746
0.034581719041469366,1,53005
0.03472521165159994,1,34409
0.03486870426173052,1,15766
0.0350121968718611,1,49218
0.03515568948199168,1,202660
0.03529918209212225,1,31510
0.03544267470225283,1,52612
0.03558616731238341,1,263994
0.03572965992251399,1,15886
0.035873152532644566,1,4208
0.036016645142775146,1,141324
0.036160137752905726,1,2920
0.036303630363036306,1,49360
0.03644712297316688,1,15377
0.03659061558329746,1,263336
0.03673410819342804,1,147133
0.03687760080355862,1,29007
0.03702109341368919,1,204860
0.03716458602381977,1,327898
0.03730807863395035,1,12097
0.03745157124408093,1,60187
0.037595063854211505,1,141898
0.037738556464342085,1,140475
0.037882049074472665,1,35701
0.038025541684603245,1,203329
0.03816903429473382,1,41710
0.0383125269048644,1,41099
0.03845601951499498,1,270044
0.03859951212512556,1,16186
0.03874300473525613,1,3851
0.03888649734538671,1,131262
0.03902998995551729,1,267018
0.03917348256564787,1,394195
0.039316975175778444,1,13126
0.039460467785909024,1,34139
0.039603960396039604,1,56709
0.039747453006170184,1,45498
0.03989094561630076,1,8282
0.04003443822643134,1,56572
0.04017793083656192,1,43550
0.0403214234466925,1,23342
0.04046491605682307,1,38505
0.04060840866695365,1,16698
0.04075190127708423,1,62807
0.04089539388721481,1,34559
0.041038886497345384,1,211031
0.041182379107475964,1,11650
0.041325871717606544,1,36728
0.041469364327737124,1,60670
0.0416128569378677,1,61163
0.04175634954799828,1,8192
0.04189984215812886,1,17685
0.04204333476825944,1,49709
0.04218682737839001,1,37209
0.04233031998852059,1,23127
0.04247381259865117,1,41822
0.04261730520878175,1,41032
0.04276079781891232,1,202699
0.0429042904290429,1,266294
0.04304778303917348,1,262634
0.04319127564930406,1,44391
0.043334768259434636,1,28142
0.043478260869565216,1,36678
0.043621753479695796,1,52995
0.043765246089826376,1,140292
0.04390873869995695,1,28024
0.04405223131008753,1,27823
0.04419572392021811,1,10135
0.04433921653034869,1,59268
0.04448270914047926,1,30048
0.04462620175060984,1,266417
0.04476969436074042,1,262456
0.044913186970871,1,267601
0.045056679581001575,1,42699
0.045200172191132156,1,64445
0.045343664801262736,1,42892
0.045487157411393316,1,263462
0.04563065002152389,1,264344
0.04577414263165447,1,149994
0.04591763524178505,1,51973
0.04606112785191563,1,209181
0.0462046204620462,1,4901
0.04634811307217678,1,5619
0.04649160568230736,1,7656
0.04663509829243794,1,29311
0.046778590902568515,1,133997
0.046922083512699095,1,9593
0.047065576122829675,1,266470
0.047209068732960255,1,262237
0.04735256134309083,1,132525
0.04749605395322141,1,22573
0.04763954656335199,1,34093
0.04778303917348257,1,5760
0.04792653178361314,1,36315
0.04807002439374372,1,270558
0.0482135170038743,1,28252
0.04835700961400488,1,20855
0.048500502224135454,1,9127
0.048643994834266034,1,30922
0.048787487444396614,1,132789
0.048930980054527194,1,17310
0.04907447266465777,1,49220
0.04921796527478835,1,136514
0.04936145788491893,1,397391
0.04950495049504951,1,26860
0.04964844310518008,1,31515
0.04979193571531066,1,34270
0.04993542832544124,1,269138
0.05007892093557182,1,42451
0.05022241354570239,1,133073
0.050365906155832973,1,262832
0.050509398765963553,1,53016
0.050652891376094134,1,5379
0.05079638398622471,1,41877
0.05093987659635529,1,11814
0.05108336920648587,1,133612
0.05122686181661645,1,8820
0.05137035442674702,1,196983
0.0515138470368776,1,28707
0.05165733964700818,1,26747
0.05180083225713876,1,30985
0.05194432486726933,1,204490
0.05208781747739991,1,27903
0.05223131008753049,1,19994
0.05237480269766107,1,61591
0.052518295307791646,1,9308
0.052661787917922226,1,33362
0.052805280528052806,1,394896
0.052948773138183386,1,23188
0.05309226574831396,1,60158
0.05323575835844454,1,8311
0.05337925096857512,1,2818
0.0535227435787057,1,204301
0.05366623618883627,1,9371
0.05380972879896685,1,28187
0.05395322140909743,1,19863
0.05409671401922801,1,51701
0.054240206629358585,1,49974
0.054383699239489165,1,266166
0.054527191849619745,1,41230
0.054670684459750325,1,39798
0.0548141770698809,1,327767
0.05495766968001148,1,12842
0.05510116229014206,1,52106
0.05524465490027264,1,203308
0.05538814751040321,1,271907
0.05553164012053379,1,210906
0.05567513273066437,1,4765
0.05581862534079495,1,61754
0.055962117950925525,1,63069
0.056105610561056105,1,51248
0.056249103171186685,1,147155
0.056392595781317265,1,61797
0.05653608839144784,1,393670
0.05667958100157842,1,45638
0.056823073611709,1,57033
0.05696656622183958,1,265575
0.05711005883197015,1,30264
0.05725355144210073,1,267373
0.05739704405223131,1,269092
0.05754053666236189,1,15221
0.057684029272492464,1,15389
0.057827521882623044,1,38888
0.057971014492753624,1,40824
0.058114507102884204,1,42905
0.05825799971301478,1,57119
0.05840149232314536,1,8510
0.05854498493327594,1,11481
0.05868847754340652,1,8670
0.05883197015353709,1,52698
0.05897546276366767,1,61251
0.05911895537379825,1,327935
0.05926244798392883,1,264509
0.0594059405940594,1,37618
0.05954943320418998,1,262259
0.05969292581432056,1,58540
0.05983641842445114,1,38714
0.059979911034581716,1,149623
0.060123403644712296,1,18540
0.060266896254842876,1,142271
0.060410388864973456,1,265777
0.06055388147510403,1,266236
0.06069737408523461,1,63199
0.06084086669536519,1,59164
0.06098435930549577,1,61584
0.06112785191562634,1,11178
0.06127134452575692,1,139989
0.0614148371358875,1,21669
0.06155832974601808,1,17897
0.061701822356148656,1,141339
0.061845314966279236,1,398041
0.061988807576409816,1,10423
0.062132300186540396,1,263262
0.06227579279667097,1,264539
0.06241928540680155,1,48089
0.06256277801693212,1,43451
0.0627062706270627,1,61582
0.06284976323719328,1,138336
0.06299325584732386,1,57982
0.06313674845745444,1,52851
0.06328024106758502,1,35132
0.0634237336777156,1,35761
0.06356722628784618,1,199230
0.06371071889797675,1,200147
0.06385421150810733,1,208781
0.06399770411823791,1,208339
0.06414119672836849,1,11187
0.06428468933849907,1,61649
0.06442818194862965,1,266279
0.06457167455876023,1,28919
