p,dependencies,identifier
0.8899082568807339,18,2
0.8944954128440367,19,142
0.8990825688073395,20,1978
0.9036697247706422,24,592
0.908256880733945,29,2846
0.9128440366972477,30,35
0.9174311926605505,51,713
0.9220183486238532,53,359
0.926605504587156,61,358
0.9311926605504587,72,50
0.9357798165137615,75,70
0.9403669724770642,77,64
0.944954128440367,96,1533
0.9495412844036697,97,14
0.9541284403669725,118,1977
0.9587155963302753,141,158
0.963302752293578,178,171
0.9678899082568807,193,100
0.9724770642201835,197,804
0.9770642201834863,200,71
0.981651376146789,376,699
0.9862385321100917,402,1
0.9908256880733946,857,26
0.9954128440366973,1142,18
1.0,6513,31
