p,dependencies,identifier
0.02978515625,1,52904
0.029947916666666668,1,8664
0.030110677083333332,1,6877
0.0302734375,1,266417
0.030436197916666668,1,49709
0.030598958333333332,1,36678
0.03076171875,1,17185
0.030924479166666668,1,400344
0.031087239583333332,1,141339
0.03125,1,398041
0.031412760416666664,1,38934
0.031575520833333336,1,20855
0.03173828125,1,61874
0.031901041666666664,1,12521
0.032063802083333336,1,141799
0.0322265625,1,267638
0.032389322916666664,1,20799
0.032552083333333336,1,30893
0.03271484375,1,43550
0.032877604166666664,1,271907
0.033040364583333336,1,267601
0.033203125,1,135451
0.033365885416666664,1,208339
0.033528645833333336,1,262815
0.03369140625,1,263920
0.033854166666666664,1,328154
0.034016927083333336,1,138572
0.0341796875,1,210906
0.034342447916666664,1,270558
0.034505208333333336,1,266216
0.03466796875,1,35362
0.034830729166666664,1,30247
0.034993489583333336,1,264351
0.03515625,1,39257
0.035319010416666664,1,19149
0.035481770833333336,1,196922
0.03564453125,1,134343
0.035807291666666664,1,14858
0.035970052083333336,1,197248
0.0361328125,1,32244
0.036295572916666664,1,33481
0.036458333333333336,1,30500
0.03662109375,1,47253
0.036783854166666664,1,33582
0.036946614583333336,1,35913
0.037109375,1,15435
0.037272135416666664,1,57285
0.037434895833333336,1,22772
0.03759765625,1,266539
0.037760416666666664,1,43067
0.037923177083333336,1,58913
0.0380859375,1,132857
0.038248697916666664,1,58519
0.038411458333333336,1,62143
0.03857421875,1,7055
0.038736979166666664,1,62205
0.038899739583333336,1,4258
0.0390625,1,21232
0.039225260416666664,1,51793
0.039388020833333336,1,41678
0.03955078125,1,61579
0.039713541666666664,1,19504
0.039876302083333336,1,17683
0.0400390625,1,267788
0.040201822916666664,1,27895
0.040364583333333336,1,396168
0.04052734375,1,396850
0.040690104166666664,1,52947
0.040852864583333336,1,11084
0.041015625,1,147137
0.041178385416666664,1,39397
0.041341145833333336,1,16491
0.04150390625,1,263817
0.041666666666666664,1,31863
0.041829427083333336,1,135868
0.0419921875,1,3242
0.042154947916666664,1,14701
0.042317708333333336,1,63620
0.04248046875,1,38949
0.042643229166666664,1,212041
0.042805989583333336,1,52979
0.04296875,1,269153
0.043131510416666664,1,34959
0.043294270833333336,1,8829
0.04345703125,1,38201
0.043619791666666664,1,14904
0.043782552083333336,1,23422
0.0439453125,1,49115
0.044108072916666664,1,33873
