ix_id,asn,ip,count,overall_percentage,ixp_percentage
1,21886,206.126.238.95,37,6.466856982189454e-05,0.0003368815151291668
1,21928,206.126.237.181,1,1.7477991843755283e-06,9.104905814301804e-06
1,21949,206.126.238.149,359,0.0006274599071908146,0.0032686611873343476
1,22299,206.126.238.10,13,2.2721389396881867e-05,0.00011836377558592345
1,22556,206.126.236.51,18,3.1460385318759505e-05,0.00016388830465743247
1,22616,206.126.237.212,16,2.7964786950008452e-05,0.00014567849302882886
1,22616,206.126.236.212,30,5.243397553126585e-05,0.0002731471744290541
1,22697,206.126.238.148,18,3.1460385318759505e-05,0.00016388830465743247
1,22697,206.126.238.48,2,3.4955983687510565e-06,1.8209811628603607e-05
1,22792,206.126.236.104,17,2.971258613438398e-05,0.00015478339884313067
1,22822,206.126.236.123,178,0.000311108254818844,0.001620673234945721
1,22925,206.126.237.76,371,0.0006484334974033209,0.003377920057105969
1,22987,206.126.238.75,23,4.019938124063715e-05,0.00020941283372894148
1,23114,206.126.236.201,8,1.3982393475004226e-05,7.283924651441443e-05
1,23274,206.126.237.73,14,2.4469188581257397e-05,0.00012746868140022525
1,23550,206.126.237.97,77,0.00013458053719691567,0.0007010777477012389
1,24429,206.126.238.82,7,1.2234594290628698e-05,6.373434070011262e-05
1,24482,206.126.237.122,604,0.001055670707362819,0.00549936311183829
1,2497,206.126.236.23,2649,0.004629920039410774,0.02411889550208548
1,25180,206.126.237.170,107,0.00018701451272818152,0.000974224922130293
1,2603,206.126.236.230,406,0.0007096064688564644,0.0036965917606065326
1,262589,206.126.237.231,1650,0.0028838686542196216,0.015023094593597977
1,262589,206.126.238.67,539,0.0009420637603784098,0.004907544233908673
1,2635,206.126.237.124,75,0.0001310849388281646,0.0006828679360726353
1,2635,206.126.236.197,110,0.0001922579102813081,0.0010015396395731985
1,26459,206.126.238.58,14,2.4469188581257397e-05,0.00012746868140022525
1,2647,206.126.236.153,425,0.0007428146533595994,0.0038695849710782665
1,26479,206.126.237.79,83,0.00014506733230316884,0.0007557071825870497
1,26496,206.126.236.43,2341,0.0040915978906231115,0.021314584511280522
1,26554,206.126.237.80,100,0.00017477991843755283,0.0009104905814301804
1,26667,206.126.237.164,2,3.4955983687510565e-06,1.8209811628603607e-05
1,26667,206.126.237.165,1,1.7477991843755283e-06,9.104905814301804e-06
1,26744,206.126.237.130,170,0.0002971258613438398,0.0015478339884313066
1,267613,206.126.237.100,414,0.0007235888623314687,0.003769431007120947
1,26762,206.126.237.160,7,1.2234594290628698e-05,6.373434070011262e-05
1,26827,206.126.236.217,182,0.00031809945155634615,0.0016570928582029282
1,27026,206.126.236.144,183,0.00031984725074072165,0.00166619776401723
1,2711,206.126.238.19,282,0.000492879369993899,0.002567583439633109
1,27202,206.126.238.80,65,0.00011360694698440934,0.0005918188779296173
1,27281,206.126.238.60,2,3.4955983687510565e-06,1.8209811628603607e-05
1,27281,206.126.238.59,6,1.0486795106253169e-05,5.462943488581082e-05
1,27381,206.126.237.28,23,4.019938124063715e-05,0.00020941283372894148
1,27630,206.126.237.157,26,4.5442778793763734e-05,0.0002367275511718469
1,2828,206.126.236.85,476,0.0008319524117627515,0.004333935167607658
