asn,count,cc
271026,1,BR
271027,1,BR
271028,1,BR
271029,1,BR
271030,1,BR
271031,1,BR
271032,1,BR
271033,1,BR
271034,1,BR
271035,1,BR
271036,1,BR
271037,1,BR
271038,1,BR
271039,1,BR
271040,1,BR
271041,1,BR
271042,1,BR
271043,1,BR
271045,1,BR
271046,1,BR
271047,1,BR
271048,1,BR
271049,1,BR
271051,1,BR
271052,1,BR
271053,1,BR
271054,1,BR
271055,1,BR
271056,1,BR
271057,1,BR
271058,1,BR
271059,1,BR
271060,1,BR
271061,1,BR
271062,1,BR
271063,1,BR
271064,1,BR
271065,1,BR
271066,1,BR
271067,1,BR
271069,1,BR
271070,1,BR
271071,1,BR
271072,1,BR
271073,1,BR
271074,1,BR
271075,1,BR
271076,1,BR
271077,1,BR
271078,1,BR
271079,1,BR
271080,1,BR
271082,1,BR
271083,1,BR
271084,1,BR
271085,1,BR
271087,1,BR
271088,1,BR
271089,1,BR
271090,1,BR
271091,1,BR
271092,1,BR
271093,1,BR
271094,1,BR
271095,1,BR
271096,1,BR
271097,1,BR
271098,1,BR
271099,1,BR
271101,1,BR
271102,1,BR
271103,1,BR
271104,1,BR
271105,1,BR
271106,1,BR
271107,1,BR
271108,1,BR
271109,1,BR
271110,1,BR
271112,1,BR
271113,1,BR
271114,1,BR
271115,1,BR
271116,1,BR
271117,1,BR
271118,1,BR
271119,1,BR
271120,1,BR
271121,1,BR
271122,1,BR
271123,1,BR
271124,1,BR
271125,1,BR
271127,1,BR
271128,1,BR
271129,1,BR
271130,1,BR
271131,1,BR
271132,1,BR
271133,1,BR
271134,1,BR
271135,1,BR
271136,1,BR
271137,1,BR
271138,1,BR
271139,1,BR
271140,1,BR
271142,1,BR
271143,1,BR
271144,1,BR
271145,1,BR
271146,1,BR
271147,1,BR
271148,1,BR
271149,1,BR
271150,1,BR
271151,1,BR
271152,1,BR
271153,1,BR
271154,1,BR
271155,1,BR
271156,1,BR
271157,1,BR
271158,1,BR
271159,1,BR
271160,1,BR
271161,1,BR
271162,1,BR
271163,1,BR
271164,1,BR
271165,1,BR
271166,1,BR
271167,1,BR
271168,1,BR
271169,1,BR
271170,1,BR
271171,1,BR
271172,1,BR
271173,1,BR
271174,1,BR
271175,1,BR
271176,1,BR
271177,1,BR
271178,1,BR
271179,1,BR
271180,1,BR
271181,1,BR
271182,1,BR
271183,1,BR
271184,1,BR
271185,1,BR
271186,1,BR
271187,1,BR
271188,1,BR
271189,1,BR
271190,1,BR
271191,1,BR
271192,1,BR
271193,1,BR
271194,1,BR
271195,1,BR
271196,1,BR
271197,1,BR
271198,1,BR
271199,1,BR
271200,1,BR
271201,1,BR
271202,1,BR
271203,1,BR
271204,1,BR
271205,1,BR
271206,1,BR
271207,1,BR
271208,1,BR
271209,1,BR
271210,1,BR
271211,1,BR
271212,1,BR
271213,1,BR
271214,1,BR
271215,1,BR
271216,1,BR
271217,1,BR
271218,1,BR
271219,1,BR
271220,1,BR
271222,1,BR
271223,1,BR
271224,1,BR
271225,1,BR
271226,1,BR
271227,1,BR
271229,1,BR
271230,1,BR
271231,1,BR
271232,1,BR
271233,1,BR
271234,1,BR
271235,1,BR
271236,1,BR
271237,1,BR
271238,1,BR
271239,1,BR
271240,1,BR
271241,1,BR
271242,1,BR
271243,1,BR
271244,1,BR
271245,1,BR
271246,1,BR
271247,1,BR
271248,1,BR
271249,1,BR
271250,1,BR
271251,1,BR
271252,1,BR
271253,1,BR
271254,1,BR
271255,1,BR
271256,1,BR
271257,1,BR
271258,1,BR
271259,1,BR
271260,1,BR
271261,1,BR
271262,1,BR
271263,1,BR
271264,1,BR
271265,1,BR
271266,1,BR
271267,1,BR
271268,1,BR
271269,1,BR
271270,1,BR
271271,1,BR
271272,1,BR
271273,1,BR
271274,1,BR
271276,1,BR
271277,1,BR
271278,1,BR
271279,1,BR
271280,1,BR
271281,1,BR
271282,1,BR
271283,1,BR
271284,1,BR
271285,1,BR
271286,1,BR
271287,1,BR
271288,1,BR
271289,1,BR
271290,1,BR
271291,1,BR
271292,1,BR
271293,1,BR
271294,1,BR
271295,1,BR
271296,1,BR
271297,1,BR
271298,1,BR
271299,1,BR
271300,1,BR
271301,1,BR
271302,1,BR
271304,1,BR
271305,1,BR
271306,1,BR
271307,1,BR
271308,1,BR
271309,1,BR
271310,1,BR
271311,1,BR
271312,1,BR
271313,1,BR
271314,1,BR
271315,1,BR
271316,1,BR
271317,1,BR
271318,1,BR
271319,1,BR
271320,2,BR;SE
271321,1,BR
271322,1,BR
271323,1,BR
271324,1,BR
271325,1,BR
271326,1,BR
271327,1,BR
271328,1,BR
271329,1,BR
271330,1,BR
271331,1,BR
271332,1,BR
271334,1,BR
271335,1,BR
271336,1,BR
271337,1,BR
271338,1,BR
271339,1,BR
271340,1,BR
271341,1,BR
271342,1,BR
271343,1,BR
271344,1,BR
271345,1,BR
271346,1,BR
271347,1,BR
271348,1,BR
271350,1,BR
271351,1,BR
271352,1,BR
271353,1,BR
271354,1,BR
271355,1,BR
271356,1,BR
271357,1,BR
271358,1,BR
271359,1,BR
271360,1,BR
271361,1,BR
271362,1,BR
271363,1,BR
271364,1,BR
271365,1,BR
271366,1,BR
271367,1,BR
271368,1,BR
271369,1,BR
271370,1,BR
271371,1,BR
271373,1,BR
271374,1,BR
271375,1,BR
271376,1,BR
271377,1,BR
271378,1,BR
271379,1,BR
271380,1,BR
271382,1,BR
271383,1,BR
271384,1,BR
271385,1,BR
271386,1,BR
271387,1,BR
271388,1,BR
271389,1,BR
271390,1,BR
271391,1,BR
271392,1,BR
271393,1,BR
271394,1,BR
271395,1,BR
271396,1,BR
271397,1,BR
271398,1,BR
271399,1,BR
271400,1,BR
271401,1,BR
271402,1,BR
271403,1,BR
271404,1,BR
271405,1,BR
271406,1,BR
271407,1,BR
271408,1,BR
271409,1,BR
271410,1,BR
271411,1,BR
271412,1,BR
271413,1,BR
271414,1,BR
271415,1,BR
271416,1,BR
271417,1,BR
271419,1,BR
271420,1,BR
271421,1,BR
271422,1,BR
271423,1,BR
271424,1,BR
271425,1,BR
271426,1,BR
271427,1,BR
271428,1,BR
271429,1,BR
271430,1,BR
271432,1,BR
271433,1,BR
271434,1,BR
271435,1,BR
271436,1,BR
271437,1,BR
271438,1,BR
271439,1,BR
271440,1,BR
271441,1,BR
271442,1,BR
271443,1,BR
271444,1,BR
271445,1,BR
271447,1,BR
271448,1,BR
271450,1,BR
271451,1,BR
271452,1,BR
271453,1,BR
271454,1,BR
271455,1,BR
271456,1,BR
271457,1,BR
271458,1,BR
271459,1,BR
271460,1,BR
271462,1,BR
271463,1,BR
271464,1,BR
271465,1,BR
271466,1,BR
271467,1,BR
271468,1,BR
271469,1,BR
271470,1,BR
271471,1,BR
271472,1,BR
271473,1,BR
271474,1,BR
271475,1,BR
271476,1,BR
271477,1,BR
271478,1,BR
271479,1,BR
271480,1,BR
271481,1,BR
271482,1,BR
271483,1,BR
271484,1,BR
271485,1,BR
271486,1,BR
271487,1,BR
271488,1,BR
271489,1,BR
271490,1,BR
271491,1,BR
271492,1,BR
271493,1,BR
271494,1,BR
271496,1,BR
271497,1,BR
271498,1,BR
271499,1,BR
271500,1,BR
271501,1,BR
271502,1,BR
271503,1,BR
271504,1,BR
271505,1,BR
271506,1,BR
271507,1,BR
271508,1,BR
271510,1,BR
271511,1,BR
271512,1,BR
271513,1,BR
271514,1,BR
271515,1,BR
271516,1,BR
271517,1,BR
271518,1,BR
271519,1,BR
271520,1,BR
271521,1,BR
271522,1,BR
271523,1,BR
271524,1,BR
271525,1,BR
271526,1,BR
271527,1,BR
271528,1,BR
271529,1,BR
271530,1,BR
271531,1,BR
271532,1,BR
271533,1,BR
271534,1,BR
271535,1,BR
271536,1,BR
271537,2,BR;ES
271538,1,BR
271540,1,BR
271541,1,BR
271542,1,BR
271543,1,BR
271544,1,BR
271545,1,BR
271546,1,BR
271547,1,BR
271548,1,BR
271549,1,BR
271550,1,BR
271551,1,BR
271552,1,BR
271553,1,BR
271554,1,BR
271555,1,BR
271556,1,BR
271558,1,BR
271559,1,BR
271560,1,BR
271561,1,BR
271562,2,BR;US
271563,1,BR
271564,1,BR
271565,1,BR
271566,1,BR
271567,1,BR
271568,1,BR
271569,1,BR
271570,1,BR
271571,1,BR
271572,1,BR
271573,1,BR
271575,1,BR
271576,1,BR
271577,1,BR
271578,1,BR
271579,1,BR
271580,1,BR
271581,1,BR
271582,1,BR
271583,1,BR
271584,1,BR
271585,1,BR
271586,1,BR
271587,1,BR
271588,1,BR
271589,1,BR
271590,1,BR
271591,1,BR
271593,1,BR
271595,1,BR
271596,1,BR
271597,1,BR
271598,1,BR
271599,1,BR
271600,1,BR
271601,1,BR
271602,1,BR
271603,1,BR
271604,1,BR
271605,1,BR
271606,1,BR
271607,1,BR
271608,1,BR
271609,1,BR
271612,1,BR
271613,1,BR
271614,1,BR
271615,1,BR
271616,1,BR
271617,1,BR
271618,1,BR
271619,1,BR
271620,1,BR
271621,1,BR
271622,1,BR
271623,1,BR
271624,1,BR
271626,1,BR
271627,1,BR
271628,1,BR
271630,1,BR
271631,1,BR
271632,1,BR
271633,1,BR
271634,1,BR
271635,1,BR
271636,1,BR
271637,1,BR
271638,1,BR
271639,1,BR
271640,1,BR
271641,1,BR
271642,1,BR
271643,1,BR
271644,1,BR
271645,1,BR
271646,1,BR
271647,1,BR
271648,1,BR
271649,1,BR
271651,1,BR
271652,1,BR
271653,1,BR
271656,1,BR
271657,1,BR
271658,1,BR
271659,2,BR;US
271660,1,BR
271661,1,BR
271662,1,BR
271663,1,BR
271664,1,BR
271665,1,BR
271667,1,BR
271668,1,BR
271669,1,BR
271670,1,BR
271671,1,BR
271672,1,BR
271673,1,BR
271674,1,BR
271675,1,BR
271676,1,BR
271677,1,BR
271680,1,BR
271681,1,BR
271682,2,BR;US
271683,2,BR;US
271684,1,BR
271686,1,BR
271687,1,BR
271689,1,BR
271690,1,BR
271691,1,BR
271692,1,BR
271694,1,BR
271695,1,BR
271699,1,BR
271700,2,AE;BR
271701,1,BR
271702,1,BR
271703,1,BR
271704,1,BR
271705,1,BR
271706,1,BR
271707,1,BR
271708,1,BR
271713,1,BR
271715,1,BR
271717,1,BR
271718,1,BR
271720,1,BR
271722,1,BR
271723,1,BR
271724,1,BR
271725,1,BR
271727,1,BR
271729,2,BR;US
271730,1,BR
271731,1,BR
271732,1,BR
271733,1,BR
271734,1,BR
271736,1,BR
271737,1,BR
271738,1,BR
271739,1,BR
271740,1,BR
271742,1,BR
271743,1,BR
271744,1,BR
271745,1,BR
271746,1,BR
271747,1,BR
271748,1,BR
271749,1,BR
271750,1,BR
271751,2,BR;US
271752,1,BR
271753,1,BR
271754,1,BR
271756,1,BR
271757,1,BR
271758,1,BR
271759,1,BR
271760,1,BR
271761,2,BR;US
271762,1,BR
271763,1,BR
271764,2,BR;US
271765,1,BR
271766,1,BR
271767,1,BR
271768,1,BR
271769,1,BR
271770,1,BR
271771,1,BR
271773,1,CO
271774,1,AR
271775,1,PY
271776,1,AR
271777,2,CL;US
271778,1,CL
271779,1,AR
271781,1,HN
271782,1,AR
271783,1,CL
271784,1,AR
271785,1,EC
271787,1,US
271788,1,CL
271789,1,CO
271790,1,AR
271791,1,VE
271792,1,CO
271793,1,VE
271794,1,AR
271795,1,EC
271796,1,AR
271797,1,AR
271798,1,AR
271799,5,AE;AR;DO;PL;US
271800,1,AR
271802,1,CO
271803,1,CL
271804,1,DO
271805,1,PE
271806,2,AE;DO
271807,1,CL
271808,1,DO
271809,2,AR;CO
271810,1,AR
271811,1,AR
271812,1,VE
271813,1,VE
271814,2,PE;US
271815,1,AR
271817,1,CL
271818,1,CO
271819,1,DO
271820,1,CO
271821,1,EC
271822,1,EC
271823,1,AR
271825,1,CO
271827,1,CO
271828,1,CO
271829,1,CO
271832,1,AR
271835,2,CL;PE
271836,1,CL
271837,1,EC
271838,1,PE
271839,1,CL
271840,1,EC
271842,2,CL;PE
271843,1,CL
271844,1,CO
271845,1,CO
271846,1,CL
271847,1,CR
271848,1,AR
271849,1,CL
271851,1,CO
271853,1,AR
271854,1,CL
271855,1,VE
271856,1,AR
271857,1,PE
271858,1,CO
271860,1,PE
271862,1,PE
271863,1,AR
271864,1,AR
271865,1,GY
271866,1,PE
271867,1,CL
271868,2,PE;US
